12/14/21,18:36:41,Luca,0,1
12/14/21,19:10:01,Tato,3,3
12/14/21,19:10:01,Omar,1,2
12/14/21,19:10:01,Luca,0,0
12/14/21,19:10:01,Hola,0,1
12/14/21,19:10:34,Omar,3,3
12/14/21,19:10:34,Luca,1,2
12/14/21,19:10:34,Hola,0,1
12/14/21,19:10:34,Tato,0,1
12/14/21,20:38:37,Omar,4,5
12/14/21,20:38:37,Tato,0,1
12/14/21,20:43:43,Omar,4,4
12/14/21,20:43:43,Tato,0,1
12/14/21,20:59:32,Omar,2,2
12/14/21,20:59:32,Tato,0,1
12/14/21,21:22:20,Omar,2,2
12/14/21,21:22:20,Tato,0,0
12/14/21,21:31:36,Omar,2,3
12/14/21,21:31:36,Tato,0,1
12/14/21,21:32:48,Omar,2,2
12/14/21,21:32:48,Tato,0,1
12/14/21,21:33:49,Omar,2,2
12/14/21,21:33:49,Tato,0,0
12/14/21,21:36:22,Tato,2,3
12/14/21,21:36:22,Omar,0,1
12/14/21,21:39:36,Tato,2,2
12/14/21,21:39:36,Omar,0,1
12/14/21,21:41:37,Omar,2,4
12/14/21,21:42:04,Omar,2,2
12/14/21,21:42:04,Tato,0,1
12/14/21,21:42:20,Tato,2,2
12/14/21,21:42:20,Omar,0,0
12/15/21,11:58:25,Hola,8,19
12/16/21,11:35:23,Omar,2,2
12/16/21,11:35:23,Tato,0,1
12/16/21,11:39:09,Pepesito,2,3
12/16/21,11:39:09,Omar,0,1
12/16/21,11:49:46,Tato,4,5
12/16/21,11:49:46,Omar,0,1
12/16/21,11:57:37,Omar,4,5
12/16/21,11:57:37,Pepesito,0,1
12/16/21,12:12:47,Omar,2,2
12/16/21,12:12:47,Tato,0,1
12/16/21,12:14:54,Tato,2,2
12/16/21,12:14:54,Omar,0,1
12/16/21,13:25:57,Omar,6,10
12/16/21,13:25:57,Perro,2,6
12/21/21,20:04:32,Omar,4,5
12/21/21,20:04:32,Tato,0,1
12/21/21,20:04:56,Omar,4,5
12/21/21,20:04:56,Tato,0,1
